date,AAPL,AMZN,BAC,CVX,GOOGL,HD,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,TSLA,UNH,VZ,WMT,XOM
2024-01-26,192.42,159.12,33.43,149.14,152.185,355.3,159.5,172.28,59.37,403.93,61.031,27.47,156.14,183.25,503.2,42.4,54.7567,103.0
2024-01-29,191.73,161.26,33.61,149.08,153.51,355.7,159.36,172.73,59.73,409.72,62.465,27.48,156.16,190.93,504.54,42.05,55.0133,103.13
2024-01-30,188.04,159.0,34.79,150.12,151.46,357.1,158.77,176.27,59.9,408.59,62.774,27.02,157.49,191.59,503.61,42.47,55.1967,104.85
2024-01-31,184.4,155.2,34.01,147.43,140.1,352.96,158.9,174.36,59.49,397.58,61.527,27.08,157.14,187.29,511.74,42.35,55.0833,102.81
2024-02-01,186.86,159.28,33.55,147.89,141.16,360.07,158.36,173.73,60.98,403.78,63.027,27.29,159.18,188.86,507.14,42.49,56.1033,102.39
2024-02-02,185.85,171.81,33.47,152.24,142.38,357.23,156.61,174.73,60.54,411.22,66.16,26.93,158.09,187.91,510.23,42.13,56.5233,101.97
2024-02-05,187.68,170.31,32.99,152.33,143.68,355.14,155.8,174.5,60.04,405.65,69.332,26.57,158.21,181.06,502.96,41.38,56.22,101.55
2024-02-06,189.3,169.15,33.04,152.35,144.1,356.25,158.06,175.1,59.94,405.49,68.223,27.5,158.96,185.1,510.67,41.1,56.6033,102.25
2024-02-07,189.41,170.53,33.18,152.13,145.54,362.69,157.98,175.43,59.99,414.05,70.099,27.56,159.12,187.58,519.39,40.42,56.46,102.22
2024-02-08,188.32,169.84,33.12,154.06,145.91,363.72,156.4,174.8,59.83,414.11,69.641,27.57,158.64,189.56,520.09,39.91,56.4567,103.97
2024-02-09,188.85,174.45,33.07,151.04,149.0,363.15,156.76,175.01,59.56,420.55,72.133,27.56,157.42,193.57,518.22,39.72,56.4267,101.77
2024-02-12,187.15,172.34,33.62,152.08,147.53,365.45,157.85,175.79,59.7,415.26,72.248,27.66,157.11,188.13,517.64,40.1,56.7667,103.17
2024-02-13,185.04,168.64,32.75,150.6,145.14,357.59,156.47,174.26,59.35,406.32,72.128,26.97,156.27,184.02,516.85,40.13,56.38,101.34
2024-02-14,184.15,170.98,33.13,151.01,145.94,358.23,155.74,176.03,59.29,409.49,73.9,27.11,155.63,188.71,516.94,40.15,56.2,100.84
2024-02-15,183.86,169.8,34.07,154.46,142.77,361.08,157.92,179.87,59.4,406.56,72.658,27.51,157.01,200.45,520.88,40.59,56.43,103.73
2024-02-16,182.31,169.51,34.09,154.63,140.52,362.35,156.55,179.03,59.39,404.06,72.613,27.62,157.51,199.95,521.55,40.49,56.7867,103.73
2024-02-20,181.56,167.08,33.96,154.0,141.12,362.57,157.86,179.73,60.7,402.79,69.452,27.59,158.51,193.76,521.06,40.5,58.62,102.75
2024-02-21,182.32,168.59,33.7,155.44,142.55,364.13,158.68,180.9,61.24,402.18,67.472,27.67,160.4,194.77,521.97,41.1,57.9,104.85
2024-02-22,184.37,174.58,33.61,155.43,144.09,371.34,160.45,183.07,61.15,411.65,78.538,27.55,160.56,197.41,526.5,40.73,58.47,104.76
2024-02-23,182.52,174.99,33.92,154.66,143.96,371.96,161.84,183.99,61.2,410.34,78.817,27.76,161.03,191.97,527.24,40.66,58.52,103.84
2024-02-26,181.16,174.73,33.61,154.45,137.57,371.6,160.79,183.36,60.71,407.54,79.092,27.18,160.22,199.4,525.32,39.69,59.6,104.25
2024-02-27,182.63,173.54,34.28,152.16,138.88,375.56,160.98,183.45,60.34,407.48,78.701,26.89,159.3,199.73,513.42,39.93,59.59,104.03
2024-02-28,181.42,173.16,34.31,152.34,136.38,377.61,161.55,184.38,60.4,407.72,77.663,27.04,160.05,202.04,498.28,40.1,59.62,104.32
2024-02-29,180.75,176.76,34.52,152.01,138.46,380.61,161.38,186.06,60.02,413.64,79.112,26.56,158.94,201.88,493.6,40.02,58.61,104.52
2024-03-01,179.66,178.22,34.35,152.81,137.14,384.45,162.12,185.29,59.53,415.5,82.279,26.59,158.85,202.64,489.53,40.2,58.76,105.84
2024-03-04,175.1,177.58,35.15,148.88,133.35,380.37,159.84,186.68,59.81,414.92,85.237,25.89,159.56,188.14,481.87,40.31,59.3,104.36
2024-03-05,170.12,174.12,35.39,149.59,132.67,378.45,159.97,188.55,59.52,402.65,85.964,26.08,159.32,180.74,473.15,40.35,60.04,105.64
2024-03-06,169.12,173.51,35.42,148.33,131.4,377.44,159.34,189.53,59.55,402.09,88.7,27.19,159.57,176.54,472.6,39.93,60.57,106.77
2024-03-07,169.0,176.82,35.63,149.37,134.38,376.55,158.87,187.87,59.44,409.14,92.669,26.79,160.62,178.65,478.78,39.53,60.36,107.37
2024-03-08,170.73,175.35,35.6,149.88,135.41,373.35,159.52,188.22,59.52,406.22,87.528,27.22,160.35,175.34,476.57,39.51,60.12,108.38
2024-03-11,172.75,171.96,35.89,152.0,137.67,371.52,161.23,188.29,60.24,404.52,85.774,28.37,161.55,177.77,489.15,40.13,60.66,109.02
2024-03-12,173.23,175.39,35.96,151.89,138.5,374.54,162.74,189.84,60.5,415.28,91.913,28.01,161.93,177.54,489.35,40.13,61.41,108.32
2024-03-13,171.13,176.555,36.08,153.89,139.79,378.99,161.1,191.38,61.12,415.1,90.888,28.22,162.3,169.48,488.0,40.26,61.28,109.53
2024-03-14,173.0,178.75,35.69,155.7,143.1,375.27,159.21,187.97,60.5,425.22,87.944,28.13,161.5,162.5,489.0,39.77,61.02,111.47
2024-03-15,172.62,174.42,35.41,155.55,141.18,373.23,158.18,190.3,59.88,416.42,87.8365,27.94,161.38,163.57,490.82,39.49,60.68,111.27
2024-03-18,173.72,174.48,36.01,155.41,147.68,371.91,156.76,192.66,60.13,417.32,88.455,27.72,161.21,173.8,487.05,39.93,60.86,112.3
2024-03-19,176.08,175.9,36.03,156.62,147.03,379.41,156.21,193.79,60.23,421.41,89.398,27.63,161.83,171.32,493.32,39.97,60.87,113.09
2024-03-20,178.67,178.15,36.75,154.55,148.74,384.41,155.76,196.33,60.75,425.23,90.372,27.7,161.99,175.66,494.23,40.12,61.25,112.99
2024-03-21,171.37,178.15,37.51,154.86,147.6,395.2,155.75,199.06,60.47,429.37,91.435,27.66,161.86,172.82,491.69,40.54,61.45,113.49
2024-03-22,172.28,178.87,37.05,154.66,150.77,390.28,155.23,196.62,60.49,428.74,94.289,27.36,161.66,170.83,490.07,40.37,60.87,113.49
2024-03-25,170.85,179.71,36.86,156.47,150.07,383.51,155.22,194.82,60.4,422.86,95.002,27.43,160.19,172.63,485.88,40.87,60.57,114.65
2024-03-26,169.71,178.3,37.09,155.27,150.67,379.93,155.77,195.73,60.54,421.65,92.561,27.59,160.55,177.67,492.31,40.85,60.51,113.79
2024-03-27,173.31,179.83,37.81,156.35,150.87,385.89,157.96,199.52,61.03,421.43,90.25,27.78,162.61,179.83,493.1,41.54,60.72,114.97
2024-03-28,171.48,180.38,37.92,157.74,150.93,383.6,158.19,200.3,61.18,420.72,90.356,27.75,162.25,175.79,494.7,41.96,60.17,116.24
2024-04-01,170.03,180.97,37.52,159.08,155.49,368.03,157.78,198.94,60.68,424.57,90.363,27.72,160.58,175.22,489.7,42.28,60.0,116.99
2024-04-02,168.84,180.69,37.3,159.78,154.56,363.0,157.73,198.86,60.15,421.44,89.452,27.55,160.57,166.63,458.14,42.54,59.16,119.28
2024-04-03,169.65,182.41,37.44,160.44,154.92,359.9,154.26,198.3,59.83,420.45,88.964,27.22,156.15,168.38,459.74,42.84,59.43,119.3
2024-04-04,168.82,180.0,36.92,160.69,150.53,357.68,152.5,195.65,59.3,417.88,85.905,26.65,155.45,171.11,455.38,42.45,59.5,119.72
2024-04-05,169.58,185.07,37.11,161.6,152.5,357.87,152.39,197.45,59.51,425.52,88.008,26.66,156.1,164.9,455.74,42.12,59.85,121.37
2024-04-08,168.45,185.19,37.5,161.27,154.85,362.05,151.59,198.48,59.27,424.59,87.133,26.58,156.04,172.98,456.0,41.73,59.78,120.55
2024-04-09,169.67,185.67,37.73,162.0,156.6,361.42,152.29,197.15,59.72,426.28,85.354,26.78,156.66,176.88,459.72,40.84,59.79,121.18
2024-04-10,167.78,185.95,36.65,162.67,156.14,350.56,150.2,195.47,58.92,423.26,87.039,26.32,157.24,171.76,450.05,40.52,60.62,122.2
2024-04-11,175.04,189.05,36.35,161.89,159.41,347.37,148.79,195.43,59.05,427.93,90.616,26.34,155.84,174.6,441.72,40.16,60.09,121.79
2024-04-12,176.55,186.13,35.79,158.96,157.73,342.87,147.52,182.79,58.28,421.9,88.186,25.86,155.33,171.05,439.2,39.72,60.14,120.37
