date,open,high,low,close,volume,ticker,price,eps,pe_ratio,net_income,total_assets,shareholders_equity,total_debt,roe,roa,debt_to_equity,market_cap,shares_outstanding,is_eps_missing,is_eps_stale,is_pe_ratio_missing,is_pe_ratio_stale,is_net_income_missing,is_net_income_stale,is_total_assets_missing,is_total_assets_stale,is_shareholders_equity_missing,is_shareholders_equity_stale,is_total_debt_missing,is_total_debt_stale,is_roe_missing,is_roe_stale,is_roa_missing,is_roa_stale,is_debt_to_equity_missing,is_debt_to_equity_stale,is_market_cap_missing,is_market_cap_stale,is_shares_outstanding_missing,is_shares_outstanding_stale
2024-03-22,,173.05,170.06,172.28,71146138.0,AAPL,172.28,2.19,78.66666666666667,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,,171.94,169.45,170.85,54288328.0,AAPL,170.85,2.19,78.01369863013699,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-26,,171.42,169.58,169.71,57388449.0,AAPL,169.71,2.19,77.4931506849315,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-27,,173.6,170.11,173.31,60263665.0,AAPL,173.31,2.19,79.13698630136986,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28,,172.23,170.51,171.48,65671690.0,AAPL,171.48,2.19,78.30136986301369,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,,171.25,169.475,170.03,46240500.0,AAPL,170.03,2.19,77.6392694063927,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-02,,169.34,168.2302,168.84,49297581.0,AAPL,168.84,2.19,77.0958904109589,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-03,,170.68,168.58,169.65,47691715.0,AAPL,169.65,2.19,77.46575342465754,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-04,,171.92,168.82,168.82,53682486.0,AAPL,168.82,2.19,77.08675799086758,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-05,,170.39,168.95,169.58,42104826.0,AAPL,169.58,2.19,77.43378995433791,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,,169.2,168.24,168.45,37425513.0,AAPL,168.45,2.19,76.91780821917808,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-09,,170.08,168.35,169.67,42451209.0,AAPL,169.67,2.19,77.47488584474885,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-10,,169.09,167.11,167.78,49691936.0,AAPL,167.78,2.19,76.61187214611873,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-11,,175.46,168.16,175.04,91053075.0,AAPL,175.04,2.19,79.9269406392694,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-12,,178.36,174.21,176.55,101282386.0,AAPL,176.55,2.19,80.6164383561644,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15,,176.63,172.5,172.69,73498773.0,AAPL,172.69,2.19,78.85388127853881,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-16,,173.76,168.27,169.38,73665235.0,AAPL,169.38,2.19,77.34246575342466,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-17,,170.65,168.0,168.0,50351210.0,AAPL,168.0,2.19,76.7123287671233,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-18,,168.64,166.55,167.04,43103753.0,AAPL,167.04,2.19,76.27397260273972,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-19,,166.4,164.075,165.0,68149377.0,AAPL,165.0,2.19,75.34246575342466,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,,167.26,164.77,165.84,48071343.0,AAPL,165.84,2.19,75.72602739726028,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-23,,167.05,164.92,166.9,49537761.0,AAPL,166.9,2.19,76.21004566210046,33916000000.0,353514000000.0,74100000000.0,106000000000.0,0.4577058029689608,0.0959396233246773,1.4304993252361673,2878213972602.74,15486757990.86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
